cold,warm,container
2.4041638374328613,0.11021184921264648,docker
2.1253790855407715,0.12249112129211426,docker
2.240349769592285,0.11809396743774414,docker
2.138949394226074,0.13447093963623047,docker
2.1010231971740723,0.1256885528564453,docker
2.0044991970062256,0.14814162254333496,docker
2.133990526199341,0.14158868789672852,docker
2.109591245651245,0.13299012184143066,docker
2.114485025405884,0.13583755493164062,docker
2.2203898429870605,0.14420652389526367,docker
2.1942596435546875,0.10296988487243652,docker
2.0148370265960693,0.1425011157989502,docker
2.0931859016418457,0.11780810356140137,docker
2.082233428955078,0.15292668342590332,docker
2.2511837482452393,0.1129298210144043,docker
2.1371428966522217,0.13104987144470215,docker
2.0830254554748535,0.14149904251098633,docker
2.18001651763916,0.1452639102935791,docker
2.207628011703491,0.11720585823059082,docker
2.480336904525757,0.1430799961090088,docker
0.8367586135864258,0.13324189186096191,wasm
0.8189847469329834,0.11851382255554199,wasm
0.8247461318969727,0.11674165725708008,wasm
0.47975850105285645,0.1434319019317627,wasm
0.8534729480743408,0.12889838218688965,wasm
0.8570094108581543,0.15542197227478027,wasm
0.8272197246551514,0.1280527114868164,wasm
0.8223297595977783,0.15550613403320312,wasm
0.8753781318664551,0.12180614471435547,wasm
0.85201096534729,0.1422569751739502,wasm
0.8230657577514648,0.11626744270324707,wasm
0.804490327835083,0.14829611778259277,wasm
0.8566379547119141,0.12153959274291992,wasm
1.1850385665893555,0.15840864181518555,wasm
0.8209183216094971,0.12238430976867676,wasm
0.8521485328674316,0.15049433708190918,wasm
0.8389649391174316,0.14033079147338867,wasm
0.8551070690155029,0.1509249210357666,wasm
0.8593363761901855,0.11271119117736816,wasm
0.8626587390899658,0.1378917694091797,wasm
