"filename", "language", "YAML", "Python", "C++", "Docker", "Shell Script", "Properties", "CMake", "Makefile", "CMake Cache", "TypeScript", "C", "pip requirements", "WebAssembly Text Format", "JSON", "comment", "blank", "total"
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/build/CMakeFiles/server.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/build/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 48, 47, 182
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/build/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/image_setup.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/include/httplib.h", "C++", 0, 0, 7651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 1507, 9484
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/include/json.hpp", "C++", 0, 0, 17453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4342, 2972, 24767
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/base_c_proxy_c/proxy.cpp", "C++", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 100
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/docker_setup.sh", "Shell Script", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/binarytree/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/binarytree/cfile/main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 30, 116
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/binarytree/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/binarytree_py/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/binarytree_py/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
