wasm interpreter,wasm jit,docker
175.43697357177734,177.4141788482666,745.840311050415
166.0013198852539,171.8292236328125,801.7292022705078
179.9631118774414,180.12571334838867,604.1319370269775
174.64685440063477,165.9567356109619,631.4911842346191
160.42256355285645,161.93771362304688,644.3428993225098
166.45479202270508,163.48552703857422,728.1138896942139
166.2886142730713,161.24224662780762,687.1838569641113
169.28625106811523,164.94321823120117,628.0555725097656
159.7423553466797,161.64588928222656,740.220308303833
177.38747596740723,165.37857055664062,722.2843170166016
162.70709037780762,169.7697639465332,731.0843467712402
162.09650039672852,166.68367385864258,722.8775024414062
181.08224868774414,165.0674343109131,695.5485343933105
159.24072265625,160.68243980407715,715.6813144683838
160.64691543579102,160.80832481384277,710.3426456451416
164.77370262145996,167.1886444091797,721.7361927032471
160.48550605773926,168.3955192565918,791.8713092803955
170.30668258666992,166.28265380859375,925.8522987365723
168.76983642578125,164.87932205200195,699.2483139038086
169.54350471496582,162.50324249267578,730.1981449127197
159.224271774292,172.77908325195312,741.1415576934814
181.2748908996582,162.98198699951172,733.4628105163574
172.67441749572754,167.28448867797852,714.4081592559814
157.8075885772705,172.81389236450195,725.2397537231445
163.58566284179688,161.38029098510742,748.1944561004639
166.3658618927002,164.26992416381836,650.1877307891846
160.62021255493164,162.55998611450195,683.3922863006592
159.90924835205078,159.05451774597168,725.9237766265869
160.89105606079102,157.759428024292,678.2066822052002
167.79565811157227,169.98767852783203,735.1517677307129
161.4396572113037,168.66803169250488,730.9615612030029
158.69808197021484,162.06908226013184,728.262186050415
166.00823402404785,168.05458068847656,706.0236930847168
159.89232063293457,158.8454246520996,697.5100040435791
174.17502403259277,170.50504684448242,689.9795532226562
160.72630882263184,160.91299057006836,695.3721046447754
161.23366355895996,163.60759735107422,749.1116523742676
160.74442863464355,161.6058349609375,657.3126316070557
167.15168952941895,183.760404586792,681.9839477539062
160.35962104797363,186.75947189331055,748.1343746185303
165.99273681640625,175.54521560668945,709.1333866119385
167.26016998291016,157.67192840576172,726.4330387115479
162.8861427307129,161.30638122558594,741.6694164276123
170.61710357666016,158.41937065124512,690.9308433532715
166.36347770690918,168.3940887451172,717.930793762207
159.55162048339844,168.75576972961426,712.2414112091064
161.00120544433594,167.6805019378662,678.6015033721924
157.60445594787598,160.21370887756348,716.663122177124
166.92805290222168,165.88330268859863,700.1581192016602
160.7377529144287,168.08557510375977,697.8521347045898
161.5457534790039,164.9482250213623,718.8129425048828
164.1547679901123,160.5243682861328,730.2839756011963
158.12373161315918,165.6808853149414,740.0665283203125
165.70401191711426,160.07280349731445,691.927433013916
159.68894958496094,164.51525688171387,696.765661239624
157.80162811279297,168.8249111175537,713.665246963501
162.3058319091797,157.30905532836914,636.5089416503906
161.53407096862793,170.64714431762695,719.7675704956055
161.33618354797363,165.12799263000488,676.0799884796143
165.20047187805176,164.5059585571289,631.9229602813721
164.1707420349121,167.42181777954102,731.8511009216309
174.28231239318848,160.91346740722656,738.086462020874
159.23309326171875,167.27018356323242,721.4672565460205
159.50274467468262,172.2862720489502,839.3428325653076
160.49790382385254,168.41673851013184,738.7514114379883
159.806489944458,163.8805866241455,719.6571826934814
173.0203628540039,165.9860610961914,657.6094627380371
161.67640686035156,165.43865203857422,627.0906925201416
163.29479217529297,166.89443588256836,751.2893676757812
167.28758811950684,163.3317470550537,728.234052658081
165.2698516845703,169.05474662780762,708.615779876709
169.58975791931152,160.1555347442627,724.4484424591064
166.07928276062012,162.03951835632324,724.6561050415039
175.78530311584473,161.70763969421387,656.5902233123779
169.46744918823242,161.41605377197266,683.4394931793213
162.1558666229248,156.46743774414062,753.1652450561523
167.1285629272461,166.1069393157959,695.326566696167
163.79022598266602,164.9169921875,718.6384201049805
168.67542266845703,177.31952667236328,700.3977298736572
167.1290397644043,174.89171028137207,676.0106086730957
164.40367698669434,160.99834442138672,717.4994945526123
167.76156425476074,165.39311408996582,678.2026290893555
165.10915756225586,156.28933906555176,704.4928073883057
179.4579029083252,158.78891944885254,706.5045833587646
176.02992057800293,172.2390651702881,709.3217372894287
160.70961952209473,162.98818588256836,695.7905292510986
167.29736328125,162.54758834838867,708.6751461029053
161.04865074157715,173.45333099365234,660.09521484375
159.35802459716797,166.82982444763184,707.5481414794922
173.15292358398438,168.15543174743652,648.4618186950684
159.2097282409668,161.4236831665039,714.8444652557373
164.60323333740234,159.67488288879395,686.7940425872803
174.59464073181152,161.21530532836914,724.6077060699463
165.92669486999512,160.44211387634277,707.8526020050049
160.62688827514648,167.04607009887695,718.4140682220459
168.91717910766602,169.31915283203125,696.6195106506348
164.65163230895996,159.2564582824707,703.8717269897461
166.80526733398438,160.87102890014648,706.6612243652344
164.42418098449707,161.78393363952637,689.1031265258789
168.809175491333,166.40257835388184,620.5170154571533
