Time,Containers,Platform
0.8401315212249756,3,WASM
0.8806028366088867,3,WASM
0.9123923778533936,3,WASM
0.9520854949951172,6,WASM
0.9736728668212891,9,WASM
0.9890182018280029,9,WASM
1.009594440460205,9,WASM
1.0427346229553223,9,WASM
1.0878856182098389,10,WASM
1.1097843647003174,14,WASM
1.1537272930145264,15,WASM
1.172093391418457,15,WASM
1.1992247104644775,15,WASM
1.2456066608428955,15,WASM
1.2883045673370361,15,WASM
1.310063123703003,20,WASM
1.3223226070404053,21,WASM
1.326659917831421,21,WASM
1.3344175815582275,21,WASM
1.3412282466888428,21,WASM
1.3450701236724854,21,WASM
1.3613085746765137,21,WASM
1.3674461841583252,21,WASM
1.3833801746368408,21,WASM
1.3910915851593018,21,WASM
1.4001834392547607,24,WASM
1.402975082397461,25,WASM
1.4272894859313965,27,WASM
1.45123291015625,28,WASM
1.467106819152832,29,WASM
1.4760055541992188,33,WASM
1.4854588508605957,37,WASM
1.4934775829315186,39,WASM
1.5001964569091797,40,WASM
1.506608486175537,41,WASM
1.5134093761444092,41,WASM
1.51582932472229,41,WASM
1.5223946571350098,41,WASM
1.528191089630127,42,WASM
1.532038688659668,42,WASM
1.5424659252166748,42,WASM
1.5497620105743408,46,WASM
1.5525310039520264,46,WASM
1.5582537651062012,46,WASM
1.5626397132873535,46,WASM
1.5663347244262695,46,WASM
1.571472406387329,47,WASM
1.5766289234161377,47,WASM
1.5811822414398193,47,WASM
1.5859901905059814,49,WASM
1.590357780456543,49,WASM
1.5949175357818604,49,WASM
1.5991783142089844,49,WASM
1.6046476364135742,49,WASM
1.6104278564453125,49,WASM
1.6145884990692139,49,WASM
1.6187422275543213,49,WASM
1.6232094764709473,49,WASM
1.6281895637512207,49,WASM
1.633420467376709,49,WASM
1.638113021850586,49,WASM
1.6422669887542725,49,WASM
1.6471216678619385,49,WASM
1.6520557403564453,49,WASM
1.6568830013275146,49,WASM
1.661956548690796,49,WASM
1.6670575141906738,49,WASM
1.6717307567596436,49,WASM
1.676966905593872,49,WASM
1.6819028854370117,49,WASM
1.6877284049987793,49,WASM
1.6915464401245117,49,WASM
1.6965789794921875,49,WASM
1.7011768817901611,49,WASM
1.7061758041381836,49,WASM
1.7112009525299072,50,WASM
1.7161831855773926,50,WASM
1.7211556434631348,50,WASM
1.7261922359466553,50,WASM
1.731415033340454,50,WASM
1.7361114025115967,50,WASM
1.74055814743042,50,WASM
1.7450857162475586,50,WASM
1.7491281032562256,50,WASM
1.7533679008483887,50,WASM
1.7581233978271484,50,WASM
1.7630574703216553,50,WASM
1.7670414447784424,50,WASM
1.7713234424591064,50,WASM
1.7757387161254883,50,WASM
1.7805957794189453,50,WASM
1.7856180667877197,50,WASM
1.7906486988067627,50,WASM
1.7958321571350098,50,WASM
1.8000948429107666,50,WASM
1.805201768875122,50,WASM
1.8102262020111084,50,WASM
1.8141937255859375,50,WASM
1.8191983699798584,50,WASM
1.8238484859466553,50,WASM
1.8283941745758057,50,WASM
1.8328938484191895,50,WASM
1.8377506732940674,50,WASM
1.8419809341430664,50,WASM
1.8464088439941406,50,WASM
1.8516383171081543,50,WASM
1.8571531772613525,50,WASM
1.8611912727355957,50,WASM
1.8662617206573486,50,WASM
1.8710954189300537,50,WASM
1.8764874935150146,50,WASM
1.8815832138061523,50,WASM
1.8857698440551758,50,WASM
1.8903007507324219,50,WASM
1.895035743713379,50,WASM
1.900475263595581,50,WASM
1.905698299407959,50,WASM
1.9103896617889404,50,WASM
1.9153239727020264,50,WASM
1.9202470779418945,50,WASM
1.925266981124878,50,WASM
1.9308662414550781,50,WASM
1.9358692169189453,50,WASM
1.9408695697784424,50,WASM
1.9451854228973389,50,WASM
1.9501259326934814,50,WASM
1.9551191329956055,50,WASM
1.9594013690948486,50,WASM
1.9635367393493652,50,WASM
1.96783447265625,50,WASM
1.9730019569396973,50,WASM
1.9779884815216064,50,WASM
1.9820525646209717,50,WASM
1.9871141910552979,50,WASM
1.991934061050415,50,WASM
1.9969165325164795,50,WASM
2.0009243488311768,50,WASM
2.005868673324585,50,WASM
2.010892391204834,50,WASM
2.015874147415161,50,WASM
2.0208263397216797,50,WASM
2.025840997695923,50,WASM
2.0299882888793945,50,WASM
2.0353856086730957,50,WASM
2.0405192375183105,50,WASM
2.046198844909668,50,WASM
2.0508627891540527,50,WASM
2.0551342964172363,50,WASM
2.061048746109009,50,WASM
2.0654752254486084,50,WASM
2.0695621967315674,50,WASM
2.0746917724609375,50,WASM
2.0794570446014404,50,WASM
2.085111618041992,50,WASM
2.0901424884796143,50,WASM
2.094806671142578,50,WASM
2.099926710128784,50,WASM
2.1054484844207764,50,WASM
2.1093592643737793,50,WASM
2.1147544384002686,50,WASM
2.1196775436401367,50,WASM
2.1246349811553955,50,WASM
2.1290180683135986,50,WASM
2.134286642074585,50,WASM
2.1396849155426025,50,WASM
2.1441256999969482,50,WASM
2.14900541305542,50,WASM
2.1540682315826416,50,WASM
2.1586458683013916,50,WASM
2.1638729572296143,50,WASM
2.1690099239349365,50,WASM
2.173062562942505,50,WASM
2.1775858402252197,50,WASM
2.182577610015869,50,WASM
2.1875457763671875,50,WASM
2.191915273666382,50,WASM
2.1967880725860596,50,WASM
2.2026805877685547,50,WASM
2.2076809406280518,50,WASM
2.212928295135498,50,WASM
2.218505620956421,50,WASM
2.222522735595703,50,WASM
2.227418899536133,50,WASM
2.2323544025421143,50,WASM
2.236950397491455,50,WASM
2.2409565448760986,50,WASM
2.2459423542022705,50,WASM
2.25095534324646,50,WASM
2.255920171737671,50,WASM
2.260333776473999,50,WASM
2.2647135257720947,50,WASM
2.2697255611419678,50,WASM
2.2741103172302246,50,WASM
2.2795419692993164,50,WASM
2.284886360168457,50,WASM
2.290804624557495,50,WASM
2.2962048053741455,50,WASM
2.301656723022461,50,WASM
2.306398868560791,50,WASM
2.310739278793335,50,WASM
2.314903497695923,50,WASM
2.31990385055542,50,WASM
2.3246572017669678,50,WASM
2.328991174697876,50,WASM
2.3342020511627197,50,WASM
2.3392271995544434,50,WASM
2.343871593475342,50,WASM
2.3487939834594727,50,WASM
2.353065252304077,50,WASM
2.358339548110962,50,WASM
2.3623855113983154,50,WASM
2.3673195838928223,50,WASM
2.3726601600646973,50,WASM
2.377748727798462,50,WASM
2.382927656173706,50,WASM
2.387108087539673,50,WASM
2.39373517036438,50,WASM
2.3981969356536865,50,WASM
2.4031412601470947,50,WASM
2.4076826572418213,50,WASM
2.413159132003784,50,WASM
2.417384624481201,50,WASM
2.4215943813323975,50,WASM
2.42732834815979,50,WASM
2.43198823928833,50,WASM
2.4376556873321533,50,WASM
2.442345380783081,50,WASM
2.4467215538024902,50,WASM
2.4518070220947266,50,WASM
2.4568777084350586,50,WASM
2.4615354537963867,50,WASM
2.4659225940704346,50,WASM
2.470043897628784,50,WASM
2.4745185375213623,50,WASM
2.478800058364868,50,WASM
2.4828572273254395,50,WASM
2.4874298572540283,50,WASM
2.4922375679016113,50,WASM
2.497197389602661,50,WASM
2.502821445465088,50,WASM
2.506852865219116,50,WASM
2.511784076690674,50,WASM
2.5163090229034424,50,WASM
2.5209643840789795,50,WASM
2.525452136993408,50,WASM
2.5308945178985596,50,WASM
2.5361711978912354,50,WASM
2.540484666824341,50,WASM
2.5446596145629883,50,WASM
2.5496463775634766,50,WASM
2.5537939071655273,50,WASM
2.558833360671997,50,WASM
2.5637171268463135,50,WASM
2.568263053894043,50,WASM
2.573511838912964,50,WASM
2.5785017013549805,50,WASM
2.5825209617614746,50,WASM
2.5876002311706543,50,WASM
2.592564105987549,50,WASM
2.5974931716918945,50,WASM
2.602602243423462,50,WASM
2.6075515747070312,50,WASM
2.612126588821411,50,WASM
2.6165618896484375,50,WASM
2.6215460300445557,50,WASM
2.6266400814056396,50,WASM
2.631230115890503,50,WASM
2.6362969875335693,50,WASM
