,1KB,10KB,1MB,Source
0,4.189491271972656,7.866621017456055,96.66943550109863,wasm
1,4.524469375610352,8.723020553588867,84.54418182373047,wasm
2,5.651235580444336,5.864381790161133,85.28351783752441,wasm
3,5.517482757568359,5.917787551879883,85.4191780090332,wasm
4,5.573034286499023,4.682302474975586,85.94465255737305,wasm
5,2.4118423461914062,2.6865005493164062,3.159046173095703,docker
6,2.534627914428711,4.224061965942383,3.5142898559570312,docker
7,2.462625503540039,4.375934600830078,3.0906200408935547,docker
8,4.782676696777344,3.7415027618408203,3.2682418823242188,docker
9,2.9692649841308594,2.510547637939453,2.7048587799072266,docker
