Input,WASM interpreter,WASM jit,Docker
1,0.0151451,0.0003919,0.0001729
2,0.0162606,0.00042290000000000003,0.0001851
3,0.0175741,0.0004373,0.0001854
4,0.0173993,0.00043880000000000004,0.00019
5,0.017191099999999997,0.0004667,0.0001951
6,0.0173076,0.00047359999999999997,0.00019150000000000002
7,0.0336202,0.0009228,0.0003792
8,0.09309179999999999,0.0026722,0.001036
9,0.17125359999999998,0.005427,0.0020046999999999995
10,0.4199745999999999,0.0141534,0.0051937
