Input,WASM,Docker
1,0.0067897,0.004498600959777832
2,0.007146,0.005381941795349121
3,0.0064995,0.0041823148727416996
4,0.006630700000000001,0.004244208335876465
5,0.006669900000000001,0.004765200614929199
6,0.0066811,0.00422518253326416
7,0.0130155,0.008539891242980957
8,0.039096399999999996,0.027337360382080077
9,0.0730515,0.051944732666015625
10,0.1960186,0.14321260452270507
