"filename", "language", "C++", "WebAssembly Text Format", "CMake", "Python", "Markdown", "JSON", "TypeScript", "YAML", "Makefile", "C", "CMake Cache", "comment", "blank", "total"
"/home/ash/wasm/wasm-serverless/python/.VSCodeCounter/2024-02-23_00-10-33/details.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/home/ash/wasm/wasm-serverless/python/.VSCodeCounter/2024-02-23_00-10-33/diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/home/ash/wasm/wasm-serverless/python/.VSCodeCounter/2024-02-23_00-10-33/diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/home/ash/wasm/wasm-serverless/python/.VSCodeCounter/2024-02-23_00-10-33/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/.VSCodeCounter/2024-02-23_00-10-33/results.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/home/ash/wasm/wasm-serverless/python/function.py", "Python", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 32, 29, 167
"/home/ash/wasm/wasm-serverless/python/functionManager.py", "Python", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 9, 43
"/home/ash/wasm/wasm-serverless/python/functionWorker.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"/home/ash/wasm/wasm-serverless/python/proxy.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 9, 68
"/home/ash/wasm/wasm-serverless/python/test/httpTest.py", "Python", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"/home/ash/wasm/wasm-serverless/python/test/test.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/home/ash/wasm/wasm-serverless/python/variables.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/wasmFunctions/sum.wasm", "WebAssembly Text Format", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 25354, 4, 603, 297, 58, 1, 4, 625, 892, 690, 365, 5069, 5352, 39314
